eventname,outcome,type,compiledgametime,video_frame,playsection,zone,manpowersituation,goal,so_goal,teamid,playerid,opposingteamgoalieoniceid,xadjcoord,yadjcoord
faceoff,successful,recoveredwithentry,0,15008,southCenterNZ,nz,evenStrength,0,0,1212,12789777,1717716,-0.197929382324219,-0.252941131591797
faceoff,failed,none,0,15008,northCenterNZ,nz,evenStrength,0,0,32522,1346345,320320,0.197929382324219,0.252941131591797
shot,successful,outside,24.266666,15736,outsideNorthWest,oz,evenStrength,0,0,1212,12789777,1717716,77.2558746337891,-19.860668182373
faceoff,successful,recoveredwithexit,37.033333,16866,eastOuterSlotDZ,dz,evenStrength,0,0,32522,1590589,320320,-69.2079467773438,-21.8764724731445
faceoff,failed,none,37.033333,16866,eastOuterSlot,oz,evenStrength,0,0,1212,109109,1717716,69.2079467773438,21.8764724731445
shot,successful,outside,55.566666,17422,northEastBoardsNZ,nz,evenStrength,0,0,1212,319319,1717716,15.3932418823242,28.4147033691406
controlledentryagainst,successful,3on3,71.3,17894,eastPointDZ,dz,evenStrength,0,0,32522,170170,320320,-42.0499877929688,-21.3805084228516
shot,failed,outsideblocked,135.16667,19810,eastPoint,oz,evenStrength,0,0,32522,10176166,320320,30.8773422241211,39.4823532104492
shot,successful,outside,175.36667,21016,northCenterNZ,nz,evenStrength,0,0,32522,10386376,320320,3.71852111816406,-8.29705810546875
controlledentryagainst,failed,3on3,199.7,21746,eastPointDZ,dz,evenStrength,0,0,32522,541541,320320,-37.0197143554687,-17.8529396057129
shot,successful,outside,204.03334,21876,outsideNorthEast,oz,evenStrength,0,0,1212,711711,1717716,86.3079528808594,8.79999923706055
shot,successful,slot,205.43333,21918,innerSlot,oz,evenStrength,1,0,1212,711711,1717716,87.3138275146484,-3.27058792114258
faceoff,successful,recoveredwithentry,206.73334,23157,southCenterNZ,nz,evenStrength,0,0,32522,1590589,320320,-0.305007934570312,-0.25
faceoff,failed,none,206.73334,23157,northCenterNZ,nz,evenStrength,0,0,1212,109109,1717716,0.305007934570312,0.25
controlledentryagainst,failed,3on3,229.7,23846,westPointDZ,dz,evenStrength,0,0,32522,465465,320320,-38.0256042480469,31.4352931976318
shot,failed,outsideblocked,233.63333,23964,centerPoint,oz,evenStrength,0,0,1212,319319,1717716,41.0432434082031,12.8235282897949
