compiledgametime,video_frame,teamid,playerid,expectedgoals
0,15008,32522,1346345,0.91
0,15008,1212,12789777,0.82
24.266666,15736,1212,12789777,0.030306769534946
37.033333,16866,32522,1590589,0.83
37.033333,16866,1212,109109,0.94
55.566666,17422,1212,319319,0.001352248829789
135.16667,19810,32522,10176166,0.000703853846062
175.36667,21016,32522,10386376,0.0014584249584
204.03334,21876,1212,711711,0.056050539016724
205.43333,21918,1212,711711,0.384850353002548
206.73334,23157,1212,109109,0.95
206.73334,23157,32522,1590589,0.86
233.63333,23964,1212,319319,0.002596466802061
259.93332,24753,32522,10176166,0.001528889406472
326.26666,27552,32522,10224214,0.003294840222225
386.7,29365,32522,541541,0.132955297827721
394.83334,33541,32522,465465,0.041006475687027
399.13333,34561,32522,465465,0.054046545177698
419.33334,35770,32522,541541,0.339121907949448
460.9,39993,32522,541541,0.049631595611572
511.86667,42045,32522,541541,0.02268436178565
522.86664,42375,32522,465465,0.011629015207291
538.56665,42846,32522,541541,0.164592459797859
614.5,45124,32522,13866853,0.019389800727367
636,45769,32522,10386376,0.065225511789322
718.0333,52313,1212,8001994,0.014045745134354
743.76666,53807,1212,711711,0.022759638726711
793.7,58100,32522,36036,0.311383187770843
840.8,60712,1212,309309,0.004519235808402
849.1667,61776,1212,711711,0.052534785121679
883.7,62812,32522,1111110,0.055401623249054
975.1,66881,32522,15134119,0.005425598472357
981.76666,67081,32522,1111110,0.008366737514734
999.56665,67615,32522,15134119,0.053695764392614
1026,69184,32522,465465,0.007489474955946
1061.8334,70259,1212,10365355,0.00178479438182
1092.0667,75085,1212,8952944,0.001931786187924
1101,75353,32522,8422414,0.007974735461175
1155.2333,78783,1212,12789777,0.021671460941434
1155.8667,78802,1212,12789777,0.130843713879585
1170.5333,80319,32522,170170,0.001119798864238
1196.8667,81109,1212,12789777,0.015452676452696
1210.9333,28908,1212,12789777,0.00080344453454
1263.9,30497,32522,13866853,0.043261799961329
1316.6333,32795,32522,15134119,0.074196860194206
1324,33016,32522,36036,0.001230623573065
1338.1333,33440,1212,21696675,0.060718707740307
1354.8667,33942,32522,611611,0.077299043536186
1402.3334,36264,1212,711711,0.00210827589035
1421.9667,36853,1212,670670,0.05553699657321
1432.3667,37165,1212,8392384,0.025763733312488
1462.7333,38076,32522,541541,0.228671580553055
1472.8334,39660,32522,465465,0.007045418955386
1474.6,39713,32522,36036,0.099258586764336
1482.2667,39943,1212,319319,0.011532604694367
